"","INPUT","OUTPUT","COUNT"
"1","thanks for the","follow",113
"2","the end of","the",113
"3","the rest of","the",92
"4","for the first","time",79
"5","at the end","of",78
"6","thank you for","the",72
"7","at the same","time",67
"8","thank you so","much",67
"9","thanks for the","rt",64
"10","is one of","the",63
"11","one of the","most",60
"12","when it comes","to",60
"13","going to be","a",59
"14","is going to","be",58
"15","if you want","to",56
"16","to be able","to",55
"17","cant wait to","see",52
"18","in the middle","of",52
"19","i cant wait","to",51
"20","i dont want","to",48
"21","i was going","to",48
"22","one of the","best",47
"23","its going to","be",45
"24","as much as","i",43
"25","i would like","to",41
"26","on the other","hand",41
"27","happy mothers day","to",40
"28","thanks so much","for",40
"29","hope to see","you",38
"30","the top of","the",38
"31","i am going","to",37
"32","for the rest","of",34
"33","one of my","favorite",34
"34","have a great","day",33
"35","i thought it","was",33
"36","i want to","be",33
"37","so much for","the",32
"38","a bit of","a",31
"39","i wish i","could",31
"40","on my way","to",31
"41","are you going","to",30
"42","i would love","to",30
"43","what do you","think",30
"44","going to have","to",29
"45","i have no","idea",29
"46","cake cake cake","cake",28
"47","the middle of","the",28
"48","there are so","many",28
"49","to go to","the",28
"50","you dont have","to",28
"51","at the top","of",27
"52","i dont know","if",27
"53","let me know","if",27
"54","the bottom of","the",27
"55","the fact that","i",27
"56","had a great","time",26
"57","i need to","get",26
"58","you so much","for",26
"59","by the end","of",25
"60","i dont know","what",25
"61","the only one","who",25
"62","to go back","to",25
"63","i have to","say",24
"64","in front of","the",24
"65","in the back","of",24
"66","looking forward to","the",24
"67","the first time","in",24
"68","what are you","doing",24
"69","a lot of","people",23
"70","as well as","the",23
"71","damn damn damn","damn",23
"72","do you have","a",23
"73","have a lot","of",23
"74","i thought i","would",23
"75","are going to","be",22
"76","i dont have","to",22
"77","i just want","to",22
"78","i love you","so",22
"79","i was able","to",22
"80","mothers day to","all",22
"81","thanks for the","mention",22
"82","the first time","i",22
"83","to get out","of",22
"84","cant wait to","get",21
"85","end of the","day",21
"86","for a long","time",21
"87","i look forward","to",21
"88","if you would","like",21
"89","in the midst","of",21
"90","in the united","states",21
"91","it will be","a",21
"92","you dont want","to",21
"93","you would like","to",21
"94","all over the","world",20
"95","be a part","of",20
"96","cant wait for","the",20
"97","i dont even","know",20
"98","i dont know","how",20
"99","i feel like","im",20
"100","i wish i","had",20
"101","if you have","a",20
"102","the best way","to",20
"103","the rest of","my",20
"104","to take care","of",20
"105","trying to figure","out",20
"106","was going to","be",20
"107","will be able","to",20
"108","would love to","see",20
"109","for the most","part",19
"110","for the shout","out",19
"111","have a great","weekend",19
"112","hope you had","a",19
"113","i have a","feeling",19
"114","i wish i","was",19
"115","im not going","to",19
"116","is one of","my",19
"117","it would be","a",19
"118","to do with","the",19
"119","when i was","a",19
"120","a few weeks","ago",18
"121","a few years","ago",18
"122","for those of","you",18
"123","i didnt want","to",18
"124","i dont think","i",18
"125","im looking forward","to",18
"126","looking forward to","seeing",18
"127","me know if","you",18
"128","on the side","of",18
"129","thank you for","all",18
"130","thank you for","your",18
"131","thanks for the","shout",18
"132","the beginning of","the",18
"133","this is one","of",18
"134","to be part","of",18
"135","was one of","the",18
"136","a great way","to",17
"137","as well as","a",17
"138","despite the fact","that",17
"139","for a few","days",17
"140","i cant wait","for",17
"141","i dont know","why",17
"142","i feel like","i",17
"143","i had no","idea",17
"144","i went to","the",17
"145","im going to","be",17
"146","in the form","of",17
"147","on the way","to",17
"148","on top of","the",17
"149","over and over","again",17
"150","take a look","at",17
"151","the center of","the",17
"152","the fact that","the",17
"153","the only way","to",17
"154","as long as","you",16
"155","be one of","the",16
"156","cant wait to","hear",16
"157","did you know","that",16
"158","great to see","you",16
"159","hope you have","a",16
"160","i thought i","was",16
"161","i want you","to",16
"162","in my life","i",16
"163","looking forward to","it",16
"164","love you so","much",16
"165","nice to meet","you",16
"166","nothing to do","with",16
"167","out to be","a",16
"168","thank you for","following",16
"169","those of you","who",16
"170","wait to see","you",16
"171","we are going","to",16
"172","you are going","to",16
"173","a few of","the",15
"174","a little bit","of",15
"175","a lot of","the",15
"176","a lot of","work",15
"177","a very long","time",15
"178","and thank you","for",15
"179","as soon as","i",15
"180","from time to","time",15
"181","happy cinco de","mayo",15
"182","have to do","is",15
"183","i have to","be",15
"184","if you are","a",15
"185","in the name","of",15
"186","makes me want","to",15
"187","most of the","time",15
"188","not sure if","i",15
"189","please follow me","i",15
"190","thank you to","all",15
"191","thanks for following","me",15
"192","thanks for the","ff",15
"193","the back of","the",15
"194","the majority of","the",15
"195","the name of","the",15
"196","the other side","of",15
"197","this is going","to",15
"198","to be a","good",15
"199","to be one","of",15
"200","to look forward","to",15
"201","to share with","you",15
"202","will be at","the",15
"203","you know what","i",15
"204","you please follow","me",15
"205","you want to","be",15
"206","a chance to","win",14
"207","are a lot","of",14
"208","at the beginning","of",14
"209","but i dont","think",14
"210","by the time","i",14
"211","day to all","the",14
"212","fall in love","with",14
"213","hope all is","well",14
"214","i have a","lot",14
"215","i want to","see",14
"216","i was in","the",14
"217","im not sure","if",14
"218","in a way","that",14
"219","it was a","good",14
"220","some of the","best",14
"221","the way to","the",14
"222","thought it would","be",14
"223","to figure out","how",14
"224","to get back","to",14
"225","what do you","do",14
"226","what is your","favorite",14
"227","would be a","good",14
"228","you for the","follow",14
"229","you have a","great",14
"230","a look at","the",13
"231","a lot of","time",13
"232","a member of","the",13
"233","a part of","the",13
"234","all the way","to",13
"235","am i the","only",13
"236","and i have","to",13
"237","and the rest","of",13
"238","at the bottom","of",13
"239","at the time","of",13
"240","do you want","to",13
"241","for the sake","of",13
"242","have to go","to",13
"243","how much i","love",13
"244","i am trying","to",13
"245","i feel like","a",13
"246","i know i","was",13
"247","i love it","when",13
"248","i really need","to",13
"249","i really want","to",13
"250","i think it","is",13
"251","i used to","be",13
"252","i want to","go",13
"253","if you dont","have",13
"254","in the case","of",13
"255","it was one","of",13
"256","know what to","do",13
"257","not being able","to",13
"258","one of the","things",13
"259","one of those","days",13
"260","so that i","can",13
"261","that awkward moment","when",13
"262","the back of","my",13
"263","the fact that","it",13
"264","the new york","times",13
"265","there are a","lot",13
"266","there is so","much",13
"267","this is not","a",13
"268","to be a","part",13
"269","to figure out","what",13
"270","to get to","the",13
"271","to keep up","with",13
"272","want to go","to",13
"273","we look forward","to",13
"274","we would love","to",13
"275","why is it","that",13
"276","you can see","the",13
"277","a lot of","fun",12
"278","a lot of","money",12
"279","and i cant","wait",12
"280","as a result","of",12
"281","at the university","of",12
"282","be able to","get",12
"283","but i dont","know",12
"284","but i have","to",12
"285","but that doesnt","mean",12
"286","do you have","any",12
"287","dont get me","wrong",12
"288","fell in love","with",12
"289","he was going","to",12
"290","how are you","doing",12
"291","i am not","a",12
"292","i am not","sure",12
"293","i have to","do",12
"294","i have to","go",12
"295","if you dont","know",12
"296","im going to","go",12
"297","in addition to","the",12
"298","in front of","a",12
"299","in the first","place",12
"300","is a good","thing",12
"301","it has been","a",12
"302","it is time","to",12
"303","it was a","great",12
"304","it was great","to",12
"305","looking forward to","a",12
"306","looking forward to","your",12
"307","not going to","be",12
"308","one of the","few",12
"309","out of the","way",12
"310","some of the","most",12
"311","thank you very","much",12
"312","thanks for all","the",12
"313","that i need","to",12
"314","that needs to","be",12
"315","the only thing","that",12
"316","there will be","a",12
"317","there you have","it",12
"318","time in my","life",12
"319","to be in","the",12
"320","we are looking","for",12
"321","when i was","in",12
"322","with the rest","of",12
"323","would love to","hear",12
"324","would you like","to",12
"325","you want me","to",12
"326","a few days","ago",11
"327","a lot of","things",11
"328","and cant wait","to",11
"329","are you coming","to",11
"330","as a way","to",11
"331","as you can","see",11
"332","at the age","of",11
"333","but i think","i",11
"334","but i think","it",11
"335","do not want","to",11
"336","feel the need","to",11
"337","for a chance","to",11
"338","for all of","the",11
"339","for the follow","and",11
"340","great to meet","you",11
"341","had a lot","of",11
"342","have no idea","what",11
"343","have to deal","with",11
"344","hope everyone has","a",11
"345","i dont have","any",11
"346","i dont know","about",11
"347","i dont think","so",11
"348","i have to","get",11
"349","i hope you","have",11
"350","i just finished","a",11
"351","i know i","know",11
"352","i want to","know",11
"353","i was looking","for",11
"354","i was trying","to",11
"355","i will tell","you",11
"356","if you are","not",11
"357","if you have","any",11
"358","ill let you","know",11
"359","im in love","with",11
"360","im not sure","how",11
"361","in a few","days",11
"362","in a long","time",11
"363","in and out","of",11
"364","in the past","few",11
"365","in the way","of",11
"366","is it just","me",11
"367","it has to","be",11
"368","it is going","to",11
"369","its been a","while",11
"370","just got back","from",11
